001*;USA oder Kanada
00971*;Vereinigte Arabische Emirate
00972*;Israel
00973*;Bahrain
00974*;Qatar
00975*;Bhutan
00976*;Mongolei
00977*;Nepal
0098*;Iran
00992*;Tadschikistan
00993*;Turkmenistan
00994*;Aserbaidschan
00995*;Georgien
00996*;Kirgisistan
00998*;Usbekistan
0049 110;Polizei-Notruf
0049 112;Notruf Feuer/Rettung
0049 115;Lokale Behörde
0049 116000;Hotline vermisste Kinder
0049 116006;Beratungsdienst für VerbrechensOpfer
0049 116111;Hotline für Hilfe suchende Kinder
0049 116116;Sperrung elektronischer Berechtigungen
0049 116117;Ärztlicher Bereischaftsdienst
0049 116123;Seelsorge/Lebenshilfe
0049 13*;Massenverkehrsnummer 013
0049 180*;Shared-Cost-Dienst 0180
0049 201*;Essen
0049 202*;Wuppertal
0049 203*;Duisburg
0049 2041*;Bottrop
0049 2043*;Gladbeck Westfalen
0049 2045*;Bottrop-Kirchhellen
0049 2051*;Velbert
0049 2052*;Velbert-Langenberg
0049 2053*;Velbert-Neviges
0049 2054*;Essen-Kettwig
0049 2056*;Heiligenhaus
0049 2058*;Wülfrath
0049 2064*;Dinslaken
0049 2065*;Duisburg-Rheinhausen
0049 2066*;Duisburg-Homberg
0049 208*;Oberhausen Rheinland
0049 209*;Gelsenkirchen
0049 2102*;Ratingen
0049 2103*;Hilden
0049 2104*;Mettmann
0049 211*;Düsseldorf
0049 212*;Solingen
0049 2129*;Haan Rheinl
0049 2131*;Neuss
0049 2132*;Meerbusch-Büderich
0049 2133*;Dormagen
0049 2137*;Neuss-Norf
0049 214*;Leverkusen
0049 2150*;Meerbusch-Lank
0049 2151*;Krefeld
0049 2152*;Kempen
0049 2153*;Nettetal-Lobberich
0049 2154*;Willich
0049 2156*;Willich-Anrath
0049 2157*;Nettetal-Kaldenkirchen
0049 2158*;Grefrath b. Krefeld
0049 2159*;Meerbusch-Osterath
0049 2161*;Mönchengladbach
0049 2162*;Viersen
0049 2163*;Schwalmtal Niederrhein
0049 2164*;Jüchen-Otzenrath
0049 2165*;Jüchen
0049 2166*;Mönchengladbach-Rheydt
0049 2171*;Leverkusen-Opladen
0049 2173*;Langenfeld Rheinland
0049 2174*;Burscheid Rheinl
0049 2175*;Leichlingen
0049 2181*;Grevenbroich
0049 2182*;Grevenbroich-Kapellen
0049 2183*;Rommerskirchen
0049 2191*;Remscheid
0049 2192*;Hückeswagen
0049 2193*;Dabringhausen
0049 2195*;Radevormwald
0049 2196*;Wermelskirchen
0049 2202*;Bergisch Gladbach
0049 2203*;Köln-Porz
0049 2204*;Bensberg
0049 2205*;Rösrath
0049 2206*;Overath
0049 2207*;Kürten-Dürscheid
0049 2208*;Niederkassel
0049 221*;Köln
0049 2222*;Bornheim Rheinl
0049 2223*;Königswinter
0049 2224*;Bad Honnef
0049 2225*;Meckenheim Rheinl
0049 2226*;Rheinbach
0049 2227*;Bornheim-Merten
0049 2228*;Remagen-Rolandseck
0049 2232*;Brühl Rheinl
0049 2233*;Hürth Rheinl
0049 2234*;Frechen
0049 2235*;Erftstadt
0049 2236*;Wesseling Rheinl
0049 2237*;Kerpen Rheinl
0049 2238*;Pulheim
0049 2241*;Siegburg
0049 2242*;Hennef Sieg
0049 2243*;Eitorf
0049 2244*;Königswinter-Oberpleis
0049 2245*;Much
0049 2246*;Lohmar
0049 2247*;Neunkirchen-Seelscheid
0049 2248*;Hennef-Uckerath
0049 2251*;Euskirchen
0049 2252*;Zülpich
0049 2253*;Bad Münstereifel
0049 2254*;Weilerswist
0049 2255*;Euskirchen-Flamersheim
0049 2256*;Mechernich-Satzvey
0049 2257*;Reckerscheid
0049 2261*;Gummersbach
0049 2262*;Wiehl
0049 2263*;Engelskirchen
0049 2264*;Marienheide
0049 2265*;Reichshof-Eckenhagen
0049 2266*;Lindlar
0049 2267*;Wipperfürth
0049 2268*;Kürten
0049 2269*;Kierspe-Rönsahl
0049 2271*;Bergheim Erft
0049 2272*;Bedburg
0049 2273*;Kerpen-Horrem
0049 2274*;Elsdorf Rheinl
0049 2275*;Kerpen-Buir
0049 228*;Bonn
0049 2291*;Waldbröl
0049 2292*;Windeck Sieg
0049 2293*;Nümbrecht
0049 2294*;Morsbach Sieg
0049 2295*;Ruppichteroth
0049 2296*;Reichshof-Brüchermühle
0049 2297*;Wildbergerhütte
0049 2301*;Holzwickede
0049 2302*;Witten
0049 2303*;Unna
0049 2304*;Schwerte
0049 2305*;Castrop-Rauxel
0049 2306*;Lünen
0049 2307*;Kamen
0049 2308*;Unna-Hemmerde
0049 2309*;Waltrop
0049 231*;Dortmund
0049 2323*;Herne
0049 2324*;Hattingen Ruhr
0049 2325*;Wanne-Eickel
0049 2327*;Bochum-Wattenscheid
0049 2330*;Herdecke
0049 2331*;Hagen
0049 2332*;Gevelsberg
0049 2333*;Ennepetal
0049 2334*;Hagen-Hohenlimburg
0049 2335*;Wetter Ruhr
0049 2336*;Schwelm
0049 2337*;Hagen-Dahl
0049 2338*;Breckerfeld
0049 2339*;Sprockhövel
0049 234*;Bochum
0049 2351*;Lüdenscheid
0049 2352*;Altena Westf
0049 2353*;Halver
0049 2354*;Meinerzhagen
0049 2355*;Schalksmühle
0049 2357*;Herscheid Westf
0049 2358*;Meinerzhagen-Valbert
0049 2359*;Kierspe
0049 2360*;Haltern-Lippramsdorf
0049 2361*;Recklinghausen
0049 2362*;Dorsten
0049 2363*;Datteln
0049 2364*;Haltern Westfalen
0049 2365*;Marl
0049 2366*;Herten Westfalen
0049 2367*;Henrichenburg
0049 2368*;Oer-Erkenschwick
0049 2369*;Dorsten-Wulfen
0049 2371*;Iserlohn
0049 2372*;Hemer
0049 2373*;Menden
0049 2374*;Iserlohn-Letmathe
0049 2375*;Balve
0049 2377*;Wickede Ruhr
0049 2378*;Fröndenberg-Langschede
0049 2379*;Menden-Asbeck
0049 2381*;Hamm Westfalen
0049 2382*;Ahlen Westfalen
0049 2383*;Bönen
0049 2384*;Welver
0049 2385*;Hamm-Rhynern
0049 2387*;Drensteinfurt-Walstedde
0049 2388*;Hamm-Uentrop
0049 2389*;Werne
0049 2391*;Plettenberg
0049 2392*;Werdohl
0049 2393*;Sundern-Allendorf
0049 2394*;Neuenrade-Affeln
0049 2395*;Finnentrop-Rönkhausen
0049 2401*;Baesweiler
0049 2402*;Stolberg
0049 2403*;Eschweiler Rheinl
0049 2404*;Alsdorf Rheinl
0049 2405*;Würselen
0049 2406*;Herzogenrath
0049 2407*;Herzogenrath-Kohlscheid
0049 2408*;Aachen-Kornelimünster
0049 2409*;Stolberg-Gressenich
0049 241*;Aachen
0049 2421*;Düren
0049 2422*;Kreuzau
0049 2423*;Langerwehe
0049 2424*;Vettweiß
0049 2425*;Nideggen-Embken
0049 2426*;Nörvenich
0049 2427*;Nideggen
0049 2428*;Niederzier
0049 2429*;Hürtgenwald
0049 2431*;Erkelenz
0049 2432*;Wassenberg
0049 2433*;Hückelhoven
0049 2434*;Wegberg
0049 2435*;Erkelenz-Lövenich
0049 2436*;Wegberg-Rödgen
0049 2440*;Nettersheim-Tondorf
0049 2441*;Kall
0049 2443*;Mechernich
0049 2444*;Schleiden-Gemünd
0049 2445*;Schleiden Eifel
0049 2446*;Heimbach Eifel
0049 2447*;Dahlem b. Kall
0049 2448*;Hellenthal-Rescheid
0049 2449*;Blankenheim Ahr
0049 2451*;Geilenkirchen
0049 2452*;Heinsberg Rheinl
0049 2453*;Heinsberg-Randerath
0049 2454*;Gangelt
0049 2455*;Waldfeucht
0049 2456*;Selfkant
0049 2461*;Jülich
0049 2462*;Linnich
0049 2463*;Titz
0049 2464*;Aldenhoven b. Jülich
0049 2465*;Inden
0049 2471*;Roetgen Eifel
0049 2472*;Monschau
0049 2473*;Simmerath
0049 2474*;Nideggen-Schmidt
0049 2482*;Hellenthal
0049 2484*;Mechernich-Eiserfey
0049 2485*;Schleiden-Dreiborn
0049 2486*;Nettersheim
0049 2501*;Münster-Hiltrup
0049 2502*;Nottuln
0049 2504*;Telgte
0049 2505*;Altenberge Westf
0049 2506*;Münster-Wolbeck
0049 2507*;Havixbeck
0049 2508*;Drensteinfurt
0049 2509*;Nottuln-Appelhülsen
0049 251*;Münster
0049 2520*;Wadersloh-Diestedde
0049 2521*;Beckum
0049 2522*;Oelde
0049 2523*;Wadersloh
0049 2524*;Ennigerloh
0049 2525*;Beckum-Neubeckum
0049 2526*;Sendenhorst
0049 2527*;Lippetal-Lippborg
0049 2528*;Ennigerloh-Enniger
0049 2529*;Oelde-Stromberg
0049 2532*;Ostbevern
0049 2533*;Münster-Nienberge
0049 2534*;Münster-Roxel
0049 2535*;Sendenhorst-Albersloh
0049 2536*;Münster-Albachten
0049 2538*;Drensteinfurt-Rinkerode
0049 2541*;Coesfeld
0049 2542*;Gescher
0049 2543*;Billerbeck Westf
0049 2545*;Rosendahl-Darfeld
0049 2546*;Coesfeld-Lette
0049 2547*;Rosendahl-Osterwick
0049 2548*;Dülmen-Rorup
0049 2551*;Steinfurt-Burgsteinfurt
0049 2552*;Steinfurt-Borghorst
0049 2553*;Ochtrup
0049 2554*;Laer Kr. Steinfurt
0049 2555*;Schöppingen
0049 2556*;Metelen
0049 2557*;Wettringen Kr. Steinfurt
0049 2558*;Horstmar
0049 2561*;Ahaus
0049 2562*;Gronau Westf
0049 2563*;Stadtlohn
0049 2564*;Vreden
0049 2565*;Gronau-Epe
0049 2566*;Legden
0049 2567*;Ahaus-Alstätte
0049 2568*;Heek
0049 2571*;Greven Westf
0049 2572*;Emsdetten
0049 2573*;Nordwalde
0049 2574*;Saerbeck
0049 2575*;Greven-Reckenfeld
0049 2581*;Warendorf
0049 2582*;Everswinkel
0049 2583*;Sassenberg
0049 2584*;Warendorf-Milte
0049 2585*;Warendorf-Hoetmar
0049 2586*;Beelen
0049 2587*;Ennigerloh-Westkirchen
0049 2588*;Harsewinkel-Greffen
0049 2590*;Dülmen-Buldern
0049 2591*;Lüdinghausen
0049 2592*;Selm
0049 2593*;Ascheberg Westf
0049 2594*;Dülmen
0049 2595*;Olfen
0049 2596*;Nordkirchen
0049 2597*;Senden Westf
0049 2598*;Senden-Ottmarsbocholt
0049 2599*;Ascheberg-Herbern
0049 2601*;Nauort
0049 2602*;Montabaur
0049 2603*;Bad Ems
0049 2604*;Nassau Lahn
0049 2605*;Löf
0049 2606*;Winningen
0049 2607*;Kobern-Gondorf
0049 2608*;Welschneudorf
0049 261*;Koblenz
0049 2620*;Neuhäusel Westerw
0049 2621*;Lahnstein
0049 2622*;Bendorf Rhein
0049 2623*;Ransbach-Baumbach
0049 2624*;Höhr-Grenzhausen
0049 2625*;Ochtendung
0049 2626*;Selters Westerw
0049 2627*;Braubach
0049 2628*;Rhens
0049 2630*;Mülheim-Kärlich
0049 2631*;Neuwied
0049 2632*;Andernach
0049 2633*;Brohl-Lützing
0049 2634*;Rengsdorf
0049 2635*;Rheinbrohl
0049 2636*;Burgbrohl
0049 2637*;Weißenthurm
0049 2638*;Waldbreitbach
0049 2639*;Anhausen Kr. Neuwied
0049 2641*;Bad Neuenahr-Ahrweiler
0049 2642*;Remagen
0049 2643*;Altenahr
0049 2644*;Linz a. Rhein
0049 2645*;Vettelschoß
0049 2646*;Königsfeld Eifel
0049 2647*;Kesseling
0049 2651*;Mayen
0049 2652*;Mendig
0049 2653*;Kaisersesch
0049 2654*;Polch
0049 2655*;Weibern
0049 2656*;Virneburg
0049 2657*;Uersfeld
0049 2661*;Bad Marienberg Westerw
0049 2662*;Hachenburg
0049 2663*;Westerburg Westerw
0049 2664*;Rennerod
0049 2666*;Freilingen Westerw
0049 2667*;Stein-Neukirch
0049 2671*;Cochem
0049 2672*;Treis-Karden
0049 2673*;Ellenz-Poltersdorf
0049 2674*;Bad Bertrich
0049 2675*;Ediger-Eller
0049 2676*;Ulmen
0049 2677*;Lutzerath
0049 2678*;Büchel b. Cochem
0049 2680*;Mündersbach
0049 2681*;Altenkirchen Westerw
0049 2682*;Hamm Sieg
0049 2683*;Asbach Westerw
0049 2684*;Puderbach Westerw
0049 2685*;Flammersfeld
0049 2686*;Weyerbusch
0049 2687*;Horhausen Westerw
0049 2688*;Kroppach
0049 2689*;Dierdorf
0049 2691*;Adenau
0049 2692*;Kelberg
0049 2693*;Antweiler
0049 2694*;Wershofen
0049 2695*;Insul
0049 2696*;Nohn Eifel
0049 2697*;Blankenheim-Ahrhütte
0049 271*;Siegen
0049 2721*;Lennestadt
0049 2722*;Attendorn
0049 2723*;Kirchhundem
0049 2724*;Finnentrop-Serkenrode
0049 2725*;Lennestadt-Oedingen
0049 2732*;Kreuztal
0049 2733*;Hilchenbach
0049 2734*;Freudenberg Westf
0049 2735*;Neunkirchen Siegerl
0049 2736*;Burbach Siegerl
0049 2737*;Netphen-Deuz
0049 2738*;Netphen
0049 2739*;Wilnsdorf
0049 2741*;Betzdorf
0049 2742*;Wissen
0049 2743*;Daaden
0049 2744*;Herdorf
0049 2745*;Brachbach Sieg
0049 2747*;Molzhain
0049 2750*;Diedenshaus
0049 2751*;Bad Berleburg
0049 2752*;Bad Laasphe
0049 2753*;Erndtebrück
0049 2754*;Bad Laasphe-Feudingen
0049 2755*;Bad Berleburg-Schwarzenau
0049 2758*;Bad Berleburg-Girkhausen
0049 2759*;Bad Berleburg-Aue
0049 2761*;Olpe Biggesee
0049 2762*;Wenden Südsauerland
0049 2763*;Drolshagen-Bleche
0049 2764*;Welschen Ennest
0049 2770*;Eschenburg
0049 2771*;Dillenburg
0049 2772*;Herborn Hess
0049 2773*;Haiger
0049 2774*;Dietzhölztal
0049 2775*;Driedorf
0049 2776*;Bad Endbach-Hartenrod
0049 2777*;Breitscheid Hess
0049 2778*;Siegbach
0049 2779*;Greifenstein-Beilstein
0049 2801*;Xanten
0049 2802*;Alpen
0049 2803*;Wesel-Büderich
0049 2804*;Xanten-Marienbaum
0049 281*;Wesel
0049 2821*;Kleve Niederrhein
0049 2822*;Emmerich
0049 2823*;Goch
0049 2824*;Kalkar
0049 2825*;Uedem
0049 2826*;Kranenburg Niederrhein
0049 2827*;Goch-Hassum
0049 2828*;Emmerich-Elten
0049 2831*;Geldern
0049 2832*;Kevelaer
0049 2833*;Kerken
0049 2834*;Straelen
0049 2835*;Issum
0049 2836*;Wachtendonk
0049 2837*;Weeze
0049 2838*;Sonsbeck
0049 2839*;Straelen-Herongen
0049 2841*;Moers
0049 2842*;Kamp-Lintfort
0049 2843*;Rheinberg
0049 2844*;Rheinberg-Orsoy
0049 2845*;Neukirchen-Vluyn
0049 2850*;Rees-Haldern
0049 2851*;Rees
0049 2852*;Hamminkeln
0049 2853*;Schermbeck
0049 2855*;Voerde Niederrhein
0049 2856*;Hamminkeln-Brünen
0049 2857*;Rees-Mehr
0049 2858*;Hünxe
0049 2859*;Wesel-Bislich
0049 2861*;Borken Westf
0049 2862*;Südlohn
0049 2863*;Velen
0049 2864*;Reken
0049 2865*;Raesfeld
0049 2866*;Dorsten-Rhade
0049 2867*;Heiden Kr. Borken
0049 2871*;Bocholt
0049 2872*;Rhede Westf
0049 2873*;Isselburg-Werth
0049 2874*;Isselburg
0049 2902*;Warstein
0049 2903*;Meschede-Freienohl
0049 2904*;Bestwig
0049 2905*;Bestwig-Ramsbeck
0049 291*;Meschede
0049 2921*;Soest
0049 2922*;Werl
0049 2923*;Lippetal-Herzfeld
0049 2924*;Möhnesee
0049 2925*;Warstein-Allagen
0049 2927*;Neuengeseke
0049 2928*;Soest-Ostönnen
0049 2931*;Arnsberg
0049 2932*;Neheim-Hüsten
0049 2933*;Sundern Sauerland
0049 2934*;Sundern-Altenhellefeld
0049 2935*;Sundern-Hachen
0049 2937*;Arnsberg-Oeventrop
0049 2938*;Ense
0049 2941*;Lippstadt
0049 2942*;Geseke
0049 2943*;Erwitte
0049 2944*;Rietberg-Mastholte
0049 2945*;Lippstadt-Benninghausen
0049 2947*;Anröchte
0049 2948*;Lippstadt-Rebbeke
0049 2951*;Büren
0049 2952*;Rüthen
0049 2953*;Wünnenberg
0049 2954*;Rüthen-Oestereiden
0049 2955*;Büren-Wewelsburg
0049 2957*;Wünnenberg-Haaren
0049 2958*;Büren-Harth
0049 2961*;Brilon
0049 2962*;Olsberg
0049 2963*;Brilon-Messinghausen
0049 2964*;Brilon-Alme
0049 2971*;Schmallenberg-Dorlar
0049 2972*;Schmallenberg
0049 2973*;Eslohe Sauerland
0049 2974*;Schmallenberg-Fredeburg
0049 2975*;Schmallenbg-Oberkirchen
0049 2977*;Schmallenberg-Bödefeld
0049 2981*;Winterberg Westf
0049 2982*;Medebach
0049 2983*;Winterberg-Siedlinghsn
0049 2984*;Hallenberg
0049 2985*;Winterberg-Niedersfeld
0049 2991*;Marsberg-Bredelar
0049 2992*;Marsberg
0049 2993*;Marsberg-Canstein
0049 2994*;Marsberg-Westheim
0049 30*;Berlin
0049 3301*;Oranienburg
0049 3302*;Hennigsdorf
0049 3303*;Birkenwerder
0049 3304*;Velten
0049 33051*;Nassenheide
0049 33053*;Zehlendorf Kr. Oberhavel
0049 33054*;Liebenwalde
0049 33055*;Kremmen
0049 33056*;Mühlenbeck Kr. Oberhavel
0049 3306*;Gransee
0049 3307*;Zehdenick
0049 33080*;Marienthal Kr. Oberhavel
0049 33082*;Menz Kr. Oberhavel
0049 33083*;Schulzendorf Kr. Oberhavel
0049 33084*;Löwenberger Land
0049 33085*;Seilershof
0049 33086*;Löwenberger Land
0049 33087*;Bredereiche
0049 33088*;Falkenthal
0049 33089*;Himmelpfort
0049 33093*;Fürstenberg Hvel
0049 33094*;Löwenberger Land
0049 331*;Potsdam
0049 33200*;Bergholz-Rehbrücke
0049 33201*;Groß Glienicke
0049 33202*;Töplitz
0049 33203*;Kleinmachnow
0049 33204*;Beelitz Mark
0049 33205*;Michendorf
0049 33206*;Fichtenwalde
0049 33207*;Groß Kreutz
0049 33208*;Fahrland
0049 33209*;Caputh
0049 3321*;Nauen Brandenb
0049 3322*;Falkensee
0049 33230*;Börnicke Kr. Havelland
0049 33231*;Pausin
0049 33232*;Brieselang
0049 33233*;Ketzin
0049 33234*;Wustermark
0049 33235*;Friesack
0049 33237*;Paulinenaue
0049 33238*;Senzke
0049 33239*;Groß Behnitz
0049 3327*;Werder Havel
0049 3328*;Teltow
0049 3329*;Stahnsdorf
0049 3331*;Angermünde
0049 3332*;Schwedt Oder
0049 33331*;Casekow
0049 33332*;Gartz Oder
0049 33333*;Tantow
0049 33334*;Greiffenberg
0049 33335*;Pinnow Kr. Uckermark
0049 33336*;Passow Kr. Uckermark
0049 33337*;Altkünkendorf
0049 33338*;Stolpe Oder
0049 3334*;Eberswalde
0049 3335*;Finowfurt
0049 33361*;Joachimsthal
0049 33362*;Liepe Kr. Barnim
0049 33363*;Altenhof Kr. Barnim
0049 33364*;Groß Ziethen Kr. Barnim
0049 33365*;Lüdersdorf Kr. Barnim
0049 33366*;Chorin
0049 33367*;Friedrichswalde Brandenb
0049 33368*;Hohensaaten
0049 33369*;Oderberg
0049 3337*;Biesenthal Brandenb
0049 3338*;Bernau Brandenb
0049 33393*;Groß Schönebeck Kr. Barnim
0049 33394*;Blumberg Kr. Barnim
0049 33395*;Zerpenschleuse
0049 33396*;Klosterfelde
0049 33397*;Wandlitz
0049 33398*;Werneuchen
0049 3341*;Strausberg
0049 3342*;Neuenhagen b. Berlin
0049 33432*;Müncheberg
0049 33433*;Buckow Märk Schweiz
0049 33434*;Herzfelde b. Strausberg
0049 33435*;Rehfelde
0049 33436*;Prötzel
0049 33437*;Reichenberg b. Strausberg
0049 33438*;Altlandsberg
0049 33439*;Fredersdorf-Vogelsdorf
0049 3344*;Bad Freienwalde
0049 33451*;Heckelberg
0049 33452*;Neulewin
0049 33454*;Wölsickendorf-Wollenberg
0049 33456*;Wriezen
0049 33457*;Altreetz
0049 33458*;Falkenberg Mark
0049 3346*;Seelow
0049 33470*;Lietzen
0049 33472*;Golzow b. Seelow
0049 33473*;Zechin
0049 33474*;Neutrebbin
0049 33475*;Letschin
0049 33476*;Neuhardenberg
0049 33477*;Trebnitz b. Müncheberg
0049 33478*;Groß Neuendorf
0049 33479*;Küstrin-Kietz
0049 335*;Frankfurt Oder
0049 33601*;Podelzig
0049 33602*;Alt Zeschdorf
0049 33603*;Falkenhagen b. Seelow
0049 33604*;Lebus
0049 33605*;Booßen
0049 33606*;Müllrose
0049 33607*;Briesen Mark
0049 33608*;Jacobsdorf Mark
0049 33609*;Brieskow-Finkenheerd
0049 3361*;Fürstenwalde Spree
0049 3362*;Erkner
0049 33631*;Bad Saarow-Pieskow
0049 33632*;Hangelsberg
0049 33633*;Spreenhagen
0049 33634*;Berkenbrück Kr. Oder-Spree
0049 33635*;Arensdorf Kr. Oder-Spree
0049 33636*;Steinhöfel Kr Oder-Spree
0049 33637*;Beerfelde
0049 33638*;Rüdersdorf b. Berlin
0049 3364*;Eisenhüttenstadt
0049 33652*;Neuzelle
0049 33653*;Ziltendorf
0049 33654*;Fünfeichen
0049 33655*;Grunow Kr. Oder-Spree
0049 33656*;Bahro
0049 33657*;Steinsdorf Brandenb
0049 3366*;Beeskow
0049 33671*;Lieberose
0049 33672*;Pfaffendorf Kr. Beeskow
0049 33673*;Weichensdorf
0049 33674*;Trebatsch
0049 33675*;Tauche
0049 33676*;Friedland b. Beeskow
0049 33677*;Glienicke b. Beeskow
0049 33678*;Storkow Mark
0049 33679*;Wendisch Rietz
0049 33701*;Großbeeren
0049 33702*;Wünsdorf
0049 33703*;Sperenberg
0049 33704*;Baruth Mark
0049 33708*;Rangsdorf
0049 3371*;Luckenwalde
0049 3372*;Jüterbog
0049 33731*;Trebbin
0049 33732*;Hennickendorf b. Luckenwalde
0049 33733*;Stülpe
0049 33734*;Felgentreu
0049 33741*;Niedergörsdorf
0049 33742*;Niedergörsdorf
0049 33743*;Niedergörsdorf
0049 33744*;Hohenseefeld
0049 33745*;Petkus
0049 33746*;Werbig b Jüterbog
0049 33747*;Marzahna
0049 33748*;Treuenbrietzen
0049 3375*;Königs Wusterhausen
0049 33760*;Münchehofe Kr. Dahme-Spree
0049 33762*;Zeuthen
0049 33763*;Bestensee
0049 33764*;Mittenwalde Mark
0049 33765*;Märkisch Buchholz
0049 33766*;Teupitz
0049 33767*;Friedersdorf b. Berlin
0049 33768*;Prieros
0049 33769*;Töpchin
0049 3377*;Zossen Brandenb
0049 3378*;Ludwigsfelde
0049 3379*;Mahlow
0049 3381*;Brandenburg an der Havel
0049 3382*;Lehnin
0049 33830*;Ziesar
0049 33831*;Weseram
0049 33832*;Rogäsen
0049 33833*;Wollin b. Brandenburg
0049 33834*;Pritzerbe
0049 33835*;Golzow b. Brandenburg
0049 33836*;Butzow b. Brandenburg
0049 33837*;Brielow
0049 33838*;Päwesin
0049 33839*;Wusterwitz
0049 33841*;Belzig
0049 33843*;Niemegk
0049 33844*;Brück Brandenb
0049 33845*;Borkheide
0049 33846*;Dippmannsdorf
0049 33847*;Görzke
0049 33848*;Raben
0049 33849*;Wiesenburg Mark
0049 3385*;Rathenow
0049 3386*;Premnitz
0049 33870*;Zollchow
0049 33872*;Hohennauen
0049 33873*;Großwudicke
